team,state,nfl_year,players_from_state,from_desc
SEA,South Dakota,1992,1,high_school
SEA,Hawaii,1992,1,high_school
SEA,Idaho,1992,1,high_school
SEA,Louisiana,1992,1,high_school
SEA,Pennsylvania,1992,1,high_school
SEA,Massachusetts,1992,1,high_school
SEA,Nevada,1992,1,high_school
SEA,Texas,1993,6,birth
SEA,Kentucky,1993,1,birth
SEA,Connecticut,1993,2,birth
SEA,California,1993,5,birth
SEA,Washington,1993,1,birth
SEA,Georgia,1993,5,birth
SEA,South Carolina,1993,1,birth
SEA,Florida,1993,4,birth
SEA,North Dakota,1993,1,birth
SEA,Oregon,1993,1,birth
SEA,Maryland,1993,2,birth
SEA,Arkansas,1993,2,birth
SEA,North Carolina,1993,4,birth
SEA,Virginia,1993,4,birth
SEA,Ohio,1993,1,birth
SEA,Louisiana,1993,1,birth
SEA,Pennsylvania,1993,1,birth
SEA,Indiana,1993,1,birth
SEA,Missouri,1993,1,birth
SEA,Tennessee,1993,1,birth
SEA,New Mexico,1993,1,birth
SEA,Massachusetts,1993,1,birth
SEA,Texas,1993,1,high_school
SEA,Kentucky,1993,1,high_school
SEA,Connecticut,1993,2,high_school
SEA,Arizona,1993,2,high_school
SEA,Washington,1993,1,high_school
SEA,California,1993,6,high_school
SEA,Georgia,1993,5,high_school
SEA,South Carolina,1993,1,high_school
SEA,Florida,1993,3,high_school
SEA,Virginia,1993,5,high_school
SEA,Oregon,1993,1,high_school
SEA,Tennessee,1993,1,high_school
SEA,Arkansas,1993,2,high_school
SEA,North Carolina,1993,4,high_school
SEA,Louisiana,1993,1,high_school
SEA,Pennsylvania,1993,1,high_school
SEA,Colorado,1993,1,high_school
SEA,Ohio,1993,1,high_school
SEA,Indiana,1993,1,high_school
SEA,Missouri,1993,1,high_school
SEA,Massachusetts,1993,1,high_school
SEA,Texas,1994,6,birth
SEA,Kentucky,1994,1,birth
SEA,California,1994,6,birth
SEA,Connecticut,1994,2,birth
SEA,Georgia,1994,6,birth
SEA,Florida,1994,5,birth
SEA,Michigan,1994,1,birth
SEA,Louisiana,1994,2,birth
SEA,Alabama,1994,2,birth
SEA,Oregon,1994,1,birth
SEA,Arkansas,1994,2,birth
SEA,North Carolina,1994,4,birth
SEA,Ohio,1994,3,birth
SEA,Virginia,1994,3,birth
SEA,Indiana,1994,2,birth
SEA,Pennsylvania,1994,1,birth
SEA,New Jersey,1994,1,birth
SEA,Maryland,1994,1,birth
SEA,Tennessee,1994,1,birth
SEA,Massachusetts,1994,1,birth
SEA,Texas,1994,4,high_school
SEA,Kentucky,1994,1,high_school
SEA,California,1994,9,high_school
SEA,Connecticut,1994,2,high_school
SEA,Arizona,1994,2,high_school
SEA,Georgia,1994,5,high_school
SEA,Florida,1994,7,high_school
SEA,Michigan,1994,1,high_school
SEA,Louisiana,1994,3,high_school
SEA,Alabama,1994,2,high_school
SEA,Oregon,1994,1,high_school
SEA,Arkansas,1994,2,high_school
SEA,North Carolina,1994,4,high_school
SEA,South Dakota,1994,1,high_school
SEA,Ohio,1994,2,high_school
SEA,Virginia,1994,3,high_school
SEA,Indiana,1994,2,high_school
SEA,Pennsylvania,1994,1,high_school
SEA,New Jersey,1994,1,high_school
SEA,Colorado,1994,1,high_school
SEA,Tennessee,1994,1,high_school
SEA,Massachusetts,1994,1,high_school
SEA,Texas,1995,5,birth
SEA,Kentucky,1995,1,birth
SEA,Wisconsin,1995,1,birth
SEA,California,1995,4,birth
SEA,Connecticut,1995,2,birth
SEA,Georgia,1995,4,birth
SEA,New Jersey,1995,2,birth
SEA,Florida,1995,5,birth
SEA,Arizona,1995,1,birth
SEA,Michigan,1995,1,birth
SEA,Louisiana,1995,1,birth
SEA,Oregon,1995,1,birth
SEA,Arkansas,1995,2,birth
SEA,Alabama,1995,2,birth
SEA,North Carolina,1995,4,birth
SEA,Ohio,1995,2,birth
SEA,South Carolina,1995,1,birth
SEA,Indiana,1995,3,birth
SEA,Maryland,1995,1,birth
SEA,New York,1995,1,birth
SEA,Virginia,1995,1,birth
SEA,Montana,1995,1,birth
SEA,Massachusetts,1995,1,birth
SEA,Texas,1995,5,high_school
SEA,Kentucky,1995,1,high_school
SEA,New York,1995,1,high_school
SEA,California,1995,4,high_school
SEA,Connecticut,1995,2,high_school
SEA,Arizona,1995,1,high_school
SEA,Georgia,1995,3,high_school
SEA,New Jersey,1995,1,high_school
SEA,Florida,1995,5,high_school
SEA,Michigan,1995,1,high_school
SEA,Louisiana,1995,2,high_school
SEA,Oregon,1995,1,high_school
SEA,Arkansas,1995,2,high_school
SEA,Alabama,1995,2,high_school
SEA,North Carolina,1995,4,high_school
SEA,Ohio,1995,2,high_school
SEA,South Carolina,1995,1,high_school
SEA,Indiana,1995,3,high_school
SEA,Virginia,1995,1,high_school
SEA,Idaho,1995,1,high_school
SEA,Massachusetts,1995,1,high_school
SEA,Texas,1996,5,birth
SEA,Kentucky,1996,1,birth
SEA,Mississippi,1996,2,birth
SEA,California,1996,6,birth
SEA,Georgia,1996,5,birth
SEA,Connecticut,1996,1,birth
SEA,South Carolina,1996,1,birth
SEA,Florida,1996,8,birth
SEA,Massachusetts,1996,2,birth
SEA,Arizona,1996,1,birth
SEA,Illinois,1996,1,birth
SEA,Louisiana,1996,2,birth
SEA,New York,1996,2,birth
SEA,Michigan,1996,1,birth
SEA,Alabama,1996,2,birth
SEA,Ohio,1996,2,birth
SEA,Arkansas,1996,1,birth
SEA,Indiana,1996,3,birth
SEA,Pennsylvania,1996,1,birth
SEA,New Jersey,1996,1,birth
SEA,Maryland,1996,1,birth
SEA,Virginia,1996,1,birth
SEA,North Carolina,1996,1,birth
SEA,Montana,1996,1,birth
SEA,Texas,1996,5,high_school
SEA,Kentucky,1996,1,high_school
SEA,Mississippi,1996,2,high_school
SEA,California,1996,6,high_school
SEA,Georgia,1996,4,high_school
SEA,Connecticut,1996,1,high_school
SEA,Nevada,1996,1,high_school
SEA,Florida,1996,8,high_school
SEA,Massachusetts,1996,2,high_school
SEA,Arizona,1996,1,high_school
SEA,Colorado,1996,1,high_school
SEA,Louisiana,1996,3,high_school
SEA,New York,1996,1,high_school
SEA,Michigan,1996,1,high_school
SEA,Alabama,1996,2,high_school
SEA,Ohio,1996,2,high_school
SEA,South Carolina,1996,1,high_school
SEA,Arkansas,1996,1,high_school
SEA,Indiana,1996,3,high_school
SEA,Pennsylvania,1996,1,high_school
SEA,New Jersey,1996,2,high_school
SEA,Virginia,1996,1,high_school
SEA,North Carolina,1996,1,high_school
SEA,Idaho,1996,1,high_school
SEA,Kentucky,1997,1,birth
SEA,Mississippi,1997,2,birth
SEA,California,1997,10,birth
SEA,Missouri,1997,1,birth
SEA,Georgia,1997,3,birth
SEA,Texas,1997,5,birth
SEA,South Carolina,1997,2,birth
SEA,Florida,1997,7,birth
SEA,Massachusetts,1997,1,birth
SEA,Washington,1997,1,birth
SEA,Ohio,1997,3,birth
SEA,Minnesota,1997,1,birth
SEA,Colorado,1997,1,birth
SEA,Louisiana,1997,1,birth
SEA,Alabama,1997,3,birth
SEA,New York,1997,1,birth
SEA,Montana,1997,1,birth
SEA,Michigan,1997,1,birth
SEA,Arkansas,1997,2,birth
SEA,Virginia,1997,1,birth
SEA,Indiana,1997,1,birth
SEA,New Jersey,1997,1,birth
SEA,Illinois,1997,1,birth
SEA,Maryland,1997,1,birth
SEA,North Carolina,1997,2,birth
SEA,Nebraska,1997,1,birth
SEA,Kentucky,1997,1,high_school
SEA,Mississippi,1997,2,high_school
SEA,California,1997,10,high_school
SEA,Missouri,1997,1,high_school
SEA,Georgia,1997,2,high_school
SEA,Texas,1997,4,high_school
SEA,Nevada,1997,1,high_school
SEA,Florida,1997,7,high_school
SEA,Massachusetts,1997,1,high_school
SEA,Washington,1997,2,high_school
SEA,Ohio,1997,3,high_school
SEA,Minnesota,1997,1,high_school
SEA,Colorado,1997,1,high_school
SEA,Louisiana,1997,2,high_school
SEA,Alabama,1997,3,high_school
SEA,New York,1997,1,high_school
SEA,Montana,1997,1,high_school
SEA,Michigan,1997,1,high_school
SEA,South Carolina,1997,2,high_school
SEA,Arkansas,1997,2,high_school
SEA,Virginia,1997,1,high_school
SEA,Indiana,1997,1,high_school
SEA,New Jersey,1997,1,high_school
SEA,Illinois,1997,1,high_school
SEA,North Carolina,1997,2,high_school
SEA,Idaho,1997,1,high_school
SEA,Maryland,1997,1,high_school
SEA,Nebraska,1997,1,high_school
SEA,Kentucky,1998,1,birth
SEA,Mississippi,1998,2,birth
SEA,Georgia,1998,2,birth
SEA,Texas,1998,2,birth
SEA,California,1998,7,birth
SEA,South Carolina,1998,2,birth
SEA,Florida,1998,6,birth
SEA,Pennsylvania,1998,1,birth
SEA,Massachusetts,1998,1,birth
SEA,Washington,1998,2,birth
SEA,Arizona,1998,1,birth
SEA,Hawaii,1998,1,birth
SEA,Louisiana,1998,1,birth
SEA,Alabama,1998,4,birth
SEA,Indiana,1998,1,birth
SEA,Michigan,1998,2,birth
SEA,Missouri,1998,1,birth
SEA,Ohio,1998,1,birth
SEA,Arkansas,1998,1,birth
SEA,Virginia,1998,1,birth
SEA,New Jersey,1998,1,birth
SEA,North Carolina,1998,2,birth
SEA,Montana,1998,1,birth
SEA,Nebraska,1998,2,birth
SEA,Kentucky,1998,1,high_school
SEA,Mississippi,1998,2,high_school
SEA,Georgia,1998,2,high_school
SEA,Texas,1998,2,high_school
SEA,Washington,1998,2,high_school
SEA,Nevada,1998,1,high_school
SEA,Florida,1998,6,high_school
SEA,Pennsylvania,1998,1,high_school
SEA,Massachusetts,1998,1,high_school
SEA,California,1998,5,high_school
SEA,Arizona,1998,2,high_school
SEA,Hawaii,1998,1,high_school
SEA,Louisiana,1998,1,high_school
SEA,Alabama,1998,4,high_school
SEA,South Carolina,1998,2,high_school
SEA,Indiana,1998,1,high_school
SEA,Michigan,1998,2,high_school
SEA,Ohio,1998,1,high_school
SEA,Arkansas,1998,1,high_school
SEA,Virginia,1998,1,high_school
SEA,New Jersey,1998,1,high_school
SEA,North Carolina,1998,2,high_school
SEA,Idaho,1998,1,high_school
SEA,Maryland,1998,1,high_school
SEA,Nebraska,1998,2,high_school
SEA,Mississippi,1999,2,birth
SEA,California,1999,5,birth
SEA,Georgia,1999,5,birth
SEA,New Jersey,1999,4,birth
SEA,Texas,1999,3,birth
SEA,Virginia,1999,3,birth
SEA,South Carolina,1999,2,birth
SEA,Pennsylvania,1999,2,birth
SEA,Massachusetts,1999,1,birth
SEA,Florida,1999,4,birth
SEA,Washington,1999,2,birth
SEA,Indiana,1999,2,birth
SEA,Hawaii,1999,1,birth
SEA,Louisiana,1999,1,birth
SEA,Alabama,1999,4,birth
SEA,Nevada,1999,1,birth
SEA,Michigan,1999,1,birth
SEA,Ohio,1999,1,birth
SEA,Arkansas,1999,1,birth
SEA,Illinois,1999,3,birth
SEA,Colorado,1999,1,birth
SEA,Arizona,1999,1,birth
SEA,Nebraska,1999,1,birth
SEA,North Carolina,1999,2,birth
SEA,Mississippi,1999,2,high_school
SEA,New Jersey,1999,3,high_school
SEA,Georgia,1999,5,high_school
SEA,Texas,1999,3,high_school
SEA,Virginia,1999,2,high_school
SEA,Nevada,1999,1,high_school
SEA,Pennsylvania,1999,2,high_school
SEA,Massachusetts,1999,1,high_school
SEA,Florida,1999,4,high_school
SEA,Washington,1999,2,high_school
SEA,California,1999,6,high_school
SEA,Indiana,1999,2,high_school
SEA,Hawaii,1999,1,high_school
SEA,Louisiana,1999,1,high_school
SEA,Alabama,1999,4,high_school
SEA,Arizona,1999,1,high_school
SEA,South Carolina,1999,2,high_school
SEA,Michigan,1999,1,high_school
SEA,Ohio,1999,1,high_school
SEA,Arkansas,1999,1,high_school
SEA,Illinois,1999,3,high_school
SEA,Colorado,1999,1,high_school
SEA,Maryland,1999,2,high_school
SEA,Nebraska,1999,1,high_school
SEA,North Carolina,1999,2,high_school
SEA,Georgia,2000,3,birth
SEA,New Jersey,2000,3,birth
SEA,New York,2000,3,birth
SEA,Arizona,2000,2,birth
SEA,Pennsylvania,2000,2,birth
SEA,Kentucky,2000,1,birth
SEA,Massachusetts,2000,1,birth
SEA,Texas,2000,1,birth
SEA,Florida,2000,3,birth
SEA,Wisconsin,2000,1,birth
SEA,Washington,2000,3,birth
SEA,California,2000,5,birth
SEA,Indiana,2000,1,birth
SEA,Hawaii,2000,1,birth
SEA,Louisiana,2000,2,birth
SEA,Alabama,2000,3,birth
SEA,South Carolina,2000,3,birth
SEA,Michigan,2000,1,birth
SEA,Maryland,2000,1,birth
SEA,Arkansas,2000,1,birth
SEA,Virginia,2000,2,birth
SEA,Ohio,2000,1,birth
SEA,Illinois,2000,1,birth
SEA,Mississippi,2000,1,birth
SEA,North Carolina,2000,1,birth
SEA,Georgia,2000,4,high_school
SEA,New Jersey,2000,2,high_school
SEA,New York,2000,2,high_school
SEA,Arizona,2000,3,high_school
SEA,Pennsylvania,2000,2,high_school
SEA,Kentucky,2000,1,high_school
SEA,Massachusetts,2000,1,high_school
SEA,Florida,2000,1,high_school
SEA,Wisconsin,2000,1,high_school
SEA,Washington,2000,3,high_school
SEA,California,2000,5,high_school
SEA,Indiana,2000,1,high_school
SEA,Hawaii,2000,1,high_school
SEA,Louisiana,2000,1,high_school
SEA,Alabama,2000,3,high_school
SEA,Texas,2000,2,high_school
SEA,South Carolina,2000,3,high_school
SEA,Michigan,2000,1,high_school
SEA,Alaska,2000,1,high_school
SEA,Arkansas,2000,1,high_school
SEA,Virginia,2000,1,high_school
SEA,Maryland,2000,2,high_school
SEA,Illinois,2000,1,high_school
SEA,Mississippi,2000,1,high_school
SEA,North Carolina,2000,1,high_school
SEA,California,2001,3,birth
SEA,Georgia,2001,2,birth
SEA,New Jersey,2001,1,birth
SEA,New York,2001,3,birth
SEA,New Hampshire,2001,1,birth
SEA,Florida,2001,5,birth
SEA,Pennsylvania,2001,1,birth
SEA,Kentucky,2001,1,birth
SEA,Wisconsin,2001,1,birth
SEA,North Carolina,2001,2,birth
SEA,Washington,2001,2,birth
SEA,South Carolina,2001,5,birth
SEA,Hawaii,2001,1,birth
SEA,Louisiana,2001,2,birth
SEA,Alabama,2001,3,birth
SEA,Texas,2001,4,birth
SEA,Mississippi,2001,3,birth
SEA,Illinois,2001,2,birth
SEA,Maryland,2001,1,birth
SEA,Arizona,2001,1,birth
SEA,Ohio,2001,3,birth
SEA,Massachusetts,2001,1,birth
SEA,Virginia,2001,1,birth
SEA,California,2001,6,high_school
SEA,Georgia,2001,3,high_school
SEA,New Jersey,2001,1,high_school
SEA,New York,2001,2,high_school
SEA,Washington,2001,2,high_school
SEA,Florida,2001,6,high_school
SEA,Pennsylvania,2001,1,high_school
SEA,Kentucky,2001,1,high_school
SEA,Wisconsin,2001,1,high_school
SEA,North Carolina,2001,2,high_school
SEA,South Carolina,2001,5,high_school
SEA,Hawaii,2001,1,high_school
SEA,Louisiana,2001,1,high_school
SEA,Alabama,2001,2,high_school
SEA,Arizona,2001,2,high_school
SEA,Texas,2001,5,high_school
SEA,Mississippi,2001,3,high_school
SEA,Illinois,2001,2,high_school
SEA,Alaska,2001,1,high_school
SEA,Ohio,2001,1,high_school
SEA,Maryland,2001,1,high_school
SEA,Massachusetts,2001,1,high_school
SEA,North Carolina,2013,2,birth
SEA,Texas,2013,7,birth
SEA,California,2013,13,birth
SEA,Pennsylvania,2013,1,birth
SEA,Arizona,2013,1,birth
SEA,Louisiana,2013,2,birth
SEA,Washington,2013,2,birth
SEA,Florida,2013,2,birth
SEA,Oklahoma,2013,1,birth
SEA,Virginia,2013,4,birth
SEA,Oregon,2013,1,birth
SEA,Arkansas,2013,1,birth
SEA,Massachusetts,2013,2,birth
SEA,Montana,2013,1,birth
SEA,Mississippi,2013,1,birth
SEA,Wisconsin,2013,1,birth
SEA,South Carolina,2013,3,birth
SEA,Michigan,2013,1,birth
SEA,Georgia,2013,4,birth
SEA,Tennessee,2013,1,birth
SEA,Illinois,2013,1,birth
SEA,Hawaii,2013,1,birth
SEA,Alabama,2013,1,birth
SEA,North Carolina,2013,2,high_school
SEA,Texas,2013,7,high_school
SEA,California,2013,13,high_school
SEA,Pennsylvania,2013,1,high_school
SEA,Arizona,2013,1,high_school
SEA,Washington,2013,2,high_school
SEA,Florida,2013,3,high_school
SEA,Oklahoma,2013,1,high_school
SEA,Ohio,2013,1,high_school
SEA,Virginia,2013,4,high_school
SEA,Oregon,2013,1,high_school
SEA,Arkansas,2013,1,high_school
SEA,Massachusetts,2013,2,high_school
SEA,Montana,2013,1,high_school
SEA,Mississippi,2013,1,high_school
SEA,Wisconsin,2013,1,high_school
SEA,South Carolina,2013,3,high_school
SEA,Michigan,2013,1,high_school
SEA,Georgia,2013,4,high_school
SEA,Tennessee,2013,1,high_school
SEA,Illinois,2013,1,high_school
SEA,Hawaii,2013,1,high_school
SEA,Alabama,2013,1,high_school
SEA,Ohio,2015,1,birth
SEA,Texas,2015,8,birth
SEA,California,2015,1,birth
SEA,Pennsylvania,2015,4,birth
SEA,Wisconsin,2015,1,birth
SEA,Montana,2015,1,birth
SEA,Louisiana,2015,2,birth
SEA,Washington,2015,2,birth
SEA,Florida,2015,2,birth
SEA,Oklahoma,2015,2,birth
SEA,Virginia,2015,4,birth
SEA,Missouri,2015,1,birth
SEA,Kansas,2015,1,birth
SEA,Massachusetts,2015,1,birth
SEA,Utah,2015,1,birth
SEA,North Carolina,2015,3,birth
SEA,Mississippi,2015,1,birth
SEA,Michigan,2015,1,birth
SEA,Alabama,2015,1,birth
SEA,Georgia,2015,4,birth
SEA,New Jersey,2015,1,birth
SEA,Ohio,2015,1,high_school
SEA,Texas,2015,8,high_school
SEA,California,2015,12,high_school
SEA,Pennsylvania,2015,4,high_school
SEA,Wisconsin,2015,1,high_school
SEA,Montana,2015,1,high_school
SEA,Washington,2015,2,high_school
SEA,Florida,2015,4,high_school
SEA,Oklahoma,2015,2,high_school
SEA,Virginia,2015,3,high_school
SEA,Missouri,2015,1,high_school
SEA,Kansas,2015,1,high_school
SEA,Massachusetts,2015,1,high_school
SEA,Utah,2015,1,high_school
SEA,North Carolina,2015,3,high_school
SEA,Mississippi,2015,1,high_school
SEA,Michigan,2015,1,high_school
SEA,Louisiana,2015,2,high_school
SEA,Georgia,2015,4,high_school
SEA,New Jersey,2015,1,high_school
SEA,Connecticut,2015,1,high_school
SEA,Alabama,2015,1,high_school
SEA,Ohio,2016,3,birth
SEA,California,2016,9,birth
SEA,Texas,2016,11,birth
SEA,Pennsylvania,2016,3,birth
SEA,Montana,2016,1,birth
SEA,Louisiana,2016,1,birth
SEA,Washington,2016,3,birth
SEA,Florida,2016,4,birth
SEA,New Jersey,2016,1,birth
SEA,Virginia,2016,4,birth
SEA,Alabama,2016,1,birth
SEA,Massachusetts,2016,1,birth
SEA,Utah,2016,1,birth
SEA,Mississippi,2016,2,birth
SEA,Michigan,2016,1,birth
SEA,West Virginia,2016,1,birth
SEA,Oklahoma,2016,2,birth
SEA,North Carolina,2016,2,birth
SEA,Georgia,2016,2,birth
SEA,Connecticut,2016,1,birth
SEA,Illinois,2016,1,birth
SEA,Kentucky,2016,1,birth
SEA,South Carolina,2016,1,birth
SEA,Ohio,2016,1,high_school
SEA,California,2016,8,high_school
SEA,Texas,2016,11,high_school
SEA,Pennsylvania,2016,3,high_school
SEA,Montana,2016,1,high_school
SEA,Washington,2016,3,high_school
SEA,Florida,2016,5,high_school
SEA,New Jersey,2016,1,high_school
SEA,Virginia,2016,3,high_school
SEA,Alabama,2016,2,high_school
SEA,Massachusetts,2016,1,high_school
SEA,Utah,2016,1,high_school
SEA,Mississippi,2016,2,high_school
SEA,Louisiana,2016,1,high_school
SEA,Michigan,2016,1,high_school
SEA,Georgia,2016,2,high_school
SEA,West Virginia,2016,1,high_school
SEA,Missouri,2016,1,high_school
SEA,Oklahoma,2016,2,high_school
SEA,North Carolina,2016,2,high_school
SEA,Connecticut,2016,2,high_school
SEA,Illinois,2016,1,high_school
SEA,South Carolina,2016,1,high_school
SEA,Ohio,2017,3,birth
SEA,California,2017,4,birth
SEA,Georgia,2017,4,birth
SEA,Texas,2017,4,birth
SEA,Connecticut,2017,1,birth
SEA,Kansas,2017,1,birth
SEA,Louisiana,2017,1,birth
SEA,Florida,2017,3,birth
SEA,New Jersey,2017,1,birth
SEA,Virginia,2017,4,birth
SEA,Alabama,2017,2,birth
SEA,Mississippi,2017,1,birth
SEA,Michigan,2017,2,birth
SEA,Missouri,2017,1,birth
SEA,New York,2017,1,birth
SEA,South Carolina,2017,1,birth
SEA,Pennsylvania,2017,3,birth
SEA,West Virginia,2017,1,birth
SEA,Maryland,2017,1,birth
SEA,Oklahoma,2017,2,birth
SEA,Iowa,2017,1,birth
SEA,North Carolina,2017,2,birth
SEA,Kentucky,2017,1,birth
SEA,Arizona,2017,1,birth
SEA,Ohio,2017,3,high_school
SEA,California,2017,4,high_school
SEA,Georgia,2017,4,high_school
SEA,Texas,2017,4,high_school
SEA,Connecticut,2017,1,high_school
SEA,Kansas,2017,1,high_school
SEA,Florida,2017,3,high_school
SEA,New Jersey,2017,1,high_school
SEA,Virginia,2017,4,high_school
SEA,Alabama,2017,1,high_school
SEA,Louisiana,2017,1,high_school
SEA,Mississippi,2017,2,high_school
SEA,Michigan,2017,1,high_school
SEA,Missouri,2017,2,high_school
SEA,New York,2017,1,high_school
SEA,South Carolina,2017,1,high_school
SEA,Pennsylvania,2017,3,high_school
SEA,West Virginia,2017,1,high_school
SEA,Maryland,2017,1,high_school
SEA,Oklahoma,2017,2,high_school
SEA,Iowa,2017,1,high_school
SEA,North Carolina,2017,2,high_school
SEA,Kentucky,2017,1,high_school
SEA,Arizona,2017,1,high_school
SEA,Florida,1976,5,birth
SEA,California,1976,4,birth
SEA,Ohio,1976,4,birth
SEA,South Carolina,1976,1,birth
SEA,New Mexico,1976,1,birth
SEA,Alabama,1976,2,birth
SEA,Minnesota,1976,1,birth
SEA,Oklahoma,1976,2,birth
SEA,Texas,1976,2,birth
SEA,Utah,1976,1,birth
SEA,New Jersey,1976,1,birth
SEA,Connecticut,1976,1,birth
SEA,Mississippi,1976,1,birth
SEA,Michigan,1976,3,birth
SEA,Wyoming,1976,1,birth
SEA,Virginia,1976,1,birth
SEA,Kentucky,1976,1,birth
SEA,Pennsylvania,1976,3,birth
SEA,Louisiana,1976,1,birth
SEA,Florida,1976,5,high_school
SEA,California,1976,5,high_school
SEA,Nebraska,1976,1,high_school
SEA,Ohio,1976,4,high_school
SEA,Louisiana,1976,1,high_school
SEA,Washington,1976,1,high_school
SEA,Georgia,1976,1,high_school
SEA,Texas,1976,2,high_school
SEA,Alabama,1976,2,high_school
SEA,Minnesota,1976,1,high_school
SEA,Oklahoma,1976,2,high_school
SEA,Utah,1976,1,high_school
SEA,New Jersey,1976,1,high_school
SEA,Connecticut,1976,1,high_school
SEA,Montana,1976,1,high_school
SEA,Michigan,1976,3,high_school
SEA,Wyoming,1976,1,high_school
SEA,Virginia,1976,1,high_school
SEA,Kentucky,1976,1,high_school
SEA,Pennsylvania,1976,3,high_school
SEA,Idaho,1976,1,high_school
SEA,Texas,2012,7,birth
SEA,South Carolina,2012,3,birth
SEA,Arizona,2012,1,birth
SEA,Washington,2012,2,birth
